# m1_detect	m2_detect	luminosity_dustance	cos_theta_jn	s1z	s2z
4.977475816468420788e+01 2.724621082689826324e+01 9.395630813764984168e+02 7.553357902799453516e-01 -1.403454123819932176e-01 7.670925768061183092e-01
4.141604815993436262e+01 3.215157006007778051e+01 1.129348673749727823e+03 9.150570617977358268e-01 -1.001408416259778750e-01 1.577133555364260697e-01
3.913925330525354696e+01 3.519653263258916098e+01 8.661057142856293467e+02 6.508103703074283874e-01 2.408270469547510451e-01 2.587522935318055731e-02
3.849911181020263484e+01 3.464951321803683015e+01 3.889300966586338859e+02 3.066169259003097558e-01 3.534778348522991248e-02 1.012812203021537100e-01
4.816616001637429889e+01 2.482698076910538276e+01 9.420455017991008617e+02 9.010891090396528913e-01 -1.927732823745798019e-01 5.118616290247643974e-01
5.026791197054278371e+01 2.975170191831951172e+01 1.110157372436197420e+03 9.835449949249027712e-01 1.250068194625789941e-01 4.103680271336272445e-01
3.886518395529179060e+01 3.379633036785053690e+01 9.753754054178389197e+02 7.901948286627364926e-01 9.498425191843801185e-02 1.891584653589611226e-02
5.269750745140188286e+01 2.386314842748504361e+01 8.837516596438837269e+02 8.388844581693286617e-01 1.082047414853985192e-03 2.442607489451937008e-01
3.984298673993119166e+01 3.521462257934617668e+01 1.072436146002002488e+03 8.244424845420975645e-01 8.068059900572593923e-01 -6.438207956185715286e-01
4.830431486157831245e+01 2.809942605973224872e+01 1.017936326232168426e+03 9.810310717598550445e-01 -1.808016997393114417e-02 3.524692388160351464e-01
4.542841907547887104e+01 3.374426213158319143e+01 1.201623208841757787e+03 8.520560446544469535e-01 2.280426155537962907e-01 1.260635088934244363e-01
5.465691912903380967e+01 2.072188845691644232e+01 8.323708567769054980e+02 8.992687464723797541e-01 -9.717546757917090716e-02 2.100349248687666259e-01
5.443642038988423337e+01 2.365125894649512617e+01 9.794812732117052292e+02 9.180528453945991929e-01 1.424365411979032214e-01 -3.618070085006472314e-01
4.160714091562152106e+01 3.838690883198836445e+01 1.127187138712462456e+03 8.403604073164152588e-01 2.420870739910917224e-01 2.372992668543800199e-01
4.107958048670812445e+01 2.970464930436218864e+01 1.044107309999054223e+03 9.527334522803200256e-01 -1.581582628088717690e-01 2.137670742532583046e-01
5.271842925779247224e+01 2.657709537738647754e+01 1.173016466640913677e+03 9.186487590613855447e-01 2.268338393317440027e-01 -4.337171714453922355e-01
4.726987960106130515e+01 3.131346999698878975e+01 8.017923962038660193e+02 8.295020931433525480e-01 4.770394794327294935e-02 6.254853140989238280e-01
4.011559929137304437e+01 3.478886578228001270e+01 1.041019954137911782e+03 7.613088183599390213e-01 -1.537194501562484938e-01 5.226940119417848862e-01
4.386542061118464630e+01 3.500179238797587544e+01 8.839302258231758742e+02 6.370013307127013746e-01 -1.212116811482694956e-01 8.193884847391808002e-01
3.999569641448878343e+01 3.599053275786327077e+01 7.018417908957628697e+02 5.552684938200700415e-01 -1.113680016609378681e-01 5.435953146414431725e-01
4.985425916056598794e+01 3.125313077849479626e+01 1.287250439376481836e+03 8.671069848749363151e-01 2.533466559099210036e-01 3.458661015704253550e-01
4.427915747286315451e+01 3.299963506874328090e+01 1.066315203434243585e+03 8.204429284175991377e-01 5.055742990688314453e-01 -2.760290442607942762e-01
4.325070269138939949e+01 2.900747164066147477e+01 1.098581908382449910e+03 9.880926833204489723e-01 6.534734398397792909e-02 -1.079076617488150952e-01
4.798385673807937479e+01 2.446217878445778027e+01 8.969682028657953197e+02 8.661690540578733666e-01 -2.310268118725845865e-01 3.864667805586352589e-01
5.073246822905647946e+01 2.408782734335697029e+01 9.405469250121029745e+02 9.259998397466855380e-01 -3.839127550012231410e-02 -7.497901582040211732e-02
4.306754026556581039e+01 2.964004177998256395e+01 1.092165036381806885e+03 9.745524064872830294e-01 7.186732859416740393e-02 9.703311384263371697e-02
3.717509801063012986e+01 3.483537905617637875e+01 6.222853705845659533e+02 5.121627029270990894e-01 4.494466810841898363e-01 -3.292780153429526457e-01
4.829790996887292920e+01 2.562129041158309306e+01 1.039628763209802855e+03 9.426994359759298669e-01 2.202604761815914972e-03 2.651942732751973522e-02
4.645630763847412936e+01 3.129535173327806774e+01 1.088761498315878498e+03 9.148797195945435057e-01 4.264236382271929804e-02 4.099768246204828492e-01
5.746866426009644613e+01 2.784454807062843429e+01 1.111840043323798227e+03 9.752547802584951020e-01 2.669380579017531230e-01 4.346231255182465003e-01
5.079091197758297938e+01 2.263939610311200212e+01 9.342051789542036886e+02 9.012010307440788681e-01 1.487551205036922314e-02 -3.315770662340043473e-01
