# m1_detect	m2_detect	luminosity_dustance	cos_theta_jn	s1z	s2z
3.854250502798891631e+01 3.579881964940632599e+01 5.459222990641862907e+02 -9.630543514423365314e-01 7.701550688413505430e-02 2.347035555187930791e-02
4.228831219160348809e+01 3.348699883554873225e+01 4.203166599927927223e+02 -9.568919795674333262e-01 3.569653963390699292e-01 -3.193840830231349237e-01
3.677385732707853094e+01 3.621038430236288974e+01 5.504602127735707882e+02 -9.038310871905436139e-01 9.415613196738914503e-02 -6.977082847237933358e-03
3.684287795132971155e+01 3.517909607211609568e+01 5.011456643488176042e+02 -9.118404246305791272e-01 -4.401833128313591414e-01 3.274792288778973770e-01
3.906853053533590270e+01 3.650677204759493577e+01 5.889540340371993352e+02 -9.467881552240851040e-01 1.104257893535281476e-01 5.924557255870300382e-02
4.095366769632178006e+01 3.306213464978914374e+01 5.139669132682491863e+02 -9.779035161604739956e-01 4.861225083346881748e-02 9.825847089181492799e-02
3.905907466041215770e+01 3.434647117240385938e+01 4.331548787713531965e+02 -9.359055542820118312e-01 -8.522019436964385283e-03 2.520988197922797297e-02
3.617889490836037680e+01 3.305888412497768769e+01 3.412981026909450293e+02 -9.052825449197153818e-01 -1.633803741247705221e-01 2.365567685932086148e-02
4.040866876391342544e+01 3.033809524609014829e+01 3.318639929710832916e+02 -9.889164617722817630e-01 -2.416003687478176787e-01 1.270967252913563494e-01
3.779170241544461817e+01 3.509753371267557753e+01 3.296442472898233973e+02 -7.340772412010139192e-01 3.360423387308408144e-02 1.807599864403323583e-02
4.439262313105756164e+01 2.710101956478252916e+01 4.077943809420291927e+02 -9.686899659481548186e-01 -6.319800113637495664e-02 5.303472377798520293e-02
4.080425977650274660e+01 3.435706924153710418e+01 4.669154288681887692e+02 -9.019331405580823802e-01 2.614762969761380562e-01 -1.489415578686286712e-01
3.846879330057686275e+01 3.811255477181699547e+01 5.203042119235743712e+02 -9.114195146395280833e-01 -1.996997894571111987e-01 3.685292826041873804e-01
3.463176654883721994e+01 3.364889129917252575e+01 4.929158914062551275e+02 -9.770283423266804546e-01 -3.412093620802808536e-01 8.358422536466782182e-02
3.969600083829408277e+01 3.101559927953621454e+01 4.651501464236861807e+02 -7.461014798602978448e-01 1.408173093607960683e-02 -2.128546381582209768e-01
3.485489213177027779e+01 3.114589511289703694e+01 4.316177735663789008e+02 -8.876464722514607608e-01 -2.697548602351794167e-01 -2.626104038488805692e-01
3.906071635460762081e+01 3.316201652998662297e+01 4.134172351072800780e+02 -6.308950001357436221e-01 2.120753964753582452e-02 -9.435993612074093650e-02
3.521882834810615037e+01 3.223983385270529567e+01 4.199024894247534121e+02 -7.305762061980544120e-01 -1.850504214013477811e-01 -1.723229275369171920e-01
3.788950673004148939e+01 3.156898903922616384e+01 4.892511003711391595e+02 -9.149817094254371064e-01 -1.625458139836830629e-01 7.170700730556489773e-03
3.917047435271200584e+01 3.508473914320903475e+01 3.206376912292548127e+02 -8.912407198527912966e-01 -1.537373750111196979e-02 8.042381069949615380e-02
3.793878374476418003e+01 3.268607941698720509e+01 3.248097416938568358e+02 -8.760136777085117954e-01 -1.038671424690131850e-01 -1.007547019541306654e-01
3.897995575419528080e+01 3.238475421795363474e+01 2.973400238932968591e+02 -7.885008954597055864e-01 -1.437538726779920006e-01 4.588578489416735018e-02
3.742074837038752833e+01 3.665954676401831591e+01 3.284599158909822449e+02 -6.168472526971954251e-01 7.137322658280220722e-02 6.878576382587420213e-02
4.019589144007547787e+01 3.009139927440884676e+01 2.790992372825166967e+02 2.291012396793592198e-01 -1.341478914754302143e-01 -2.683025204911192521e-03
4.287752195923765441e+01 3.112887574108545863e+01 3.508187277127503307e+02 -5.667287510007198437e-01 -1.491797783293497548e-01 1.844674128095719901e-01
4.219401780741744545e+01 3.185534395981861877e+01 6.084798478683717349e+02 -9.832848656299759682e-01 1.413418033863418355e-01 -1.093239085270985150e-01
3.721626421209045077e+01 3.417374550798764687e+01 5.208614805068659734e+02 -9.836534026504367700e-01 -3.379270449975783075e-01 3.199106977115303008e-01
3.720387399476405221e+01 3.659547404380450786e+01 4.437647471073885299e+02 -8.705279256869717930e-01 -9.994119443735521510e-03 1.321428706588697322e-01
3.973326893800478388e+01 3.287217389276985102e+01 4.034583434493084155e+02 -9.897227472737122334e-01 -1.675043774443032429e-01 9.605338268667487633e-02
3.509369366080108676e+01 3.500738237220318894e+01 4.615854422680519633e+02 -9.664138515926915529e-01 -3.045039940670754910e-02 -2.066210877316204675e-01
3.929857008018851872e+01 3.389742127401379435e+01 4.474421935780521835e+02 -8.937715093653625376e-01 -3.916733946118915455e-01 5.115962492882000223e-01
4.106304694104854036e+01 3.462493966189170891e+01 3.997225742215276796e+02 -9.506441378173169365e-01 1.373948967528002552e-01 5.163034263828599618e-02
3.823774604373224406e+01 3.578166308823148967e+01 2.596443019553240106e+02 -4.935937220362993094e-01 3.285349025389414646e-01 -2.784434998523183658e-01
3.657631014922767321e+01 3.382541110471743906e+01 3.131038127309795414e+02 -5.809481514182613937e-01 1.719706973280032691e-01 -2.233638723851565366e-01
3.875017144305051886e+01 3.369635832447271895e+01 4.612286615592468593e+02 -9.995569223941960235e-01 -6.656448782299072275e-02 -8.670806377660143782e-02
4.166962539727970949e+01 2.969212949013193636e+01 5.878366634457767077e+02 -9.909243747555238624e-01 -2.106252679063208566e-02 -9.512743588617610102e-02
3.872029913132490719e+01 3.435099705669541237e+01 4.147177302935237435e+02 -8.940538933933837029e-01 7.539157540299359361e-01 -8.798194005617071545e-01
4.297056412892752775e+01 2.724133121728103646e+01 3.966286226200489864e+02 -8.983328031385663381e-01 -1.546469200611193806e-01 -2.130610922008116873e-02
